mapping_predictor_path,mapping_predictor_path_canonical,n_matched_hyde_leaves,matched_hyde_leaves_joined
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities','[BIO] / Movement_and_Bodywork / Aerobic_Movement_Modalities',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Montages',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Family',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Targets',0,
'[BIO] > Personalization_and_Monitoring > Self_Assessment_Instruments','[BIO] / Personalization_and_Monitoring / Self_Assessment_Instruments',0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Psychiatric_Pharmacotherapy_Classes',0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',0,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies','[BIO] / Sleep_and_Circadian / Sleep_Devices_and_Technologies',0,
'[BIO] > Sleep_and_Circadian > Sleep_Environment','[BIO] / Sleep_and_Circadian / Sleep_Environment',0,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes','[BIO] / Sleep_and_Circadian / Sleep_Pharmacotherapy_Classes',0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices','[BIO] / Sleep_and_Circadian / Sleep_Routines_and_Practices',0,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements','[BIO] / Sleep_and_Circadian / Sleep_Supplements',0,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies','[BIO] / Somatic_and_Interventional / Brain_Stimulation_Therapies',0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation',0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring','[PSYCHO] / Cognitive_Behavioral_Therapies / Cognitive_Restructuring',0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats','[PSYCHO] / Digital_and_Tech_Enabled_Solutions / Care_Delivery_Formats',0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports','[PSYCHO] / Digital_and_Tech_Enabled_Solutions / Digital_Tools_and_Supports',0,
'[PSYCHO] > Foundations_and_Common_Factors > Case_Formulation_and_Treatment_Planning','[PSYCHO] / Foundations_and_Common_Factors / Case_Formulation_and_Treatment_Planning',0,
'[PSYCHO] > Foundations_and_Common_Factors > Goals_Values_and_Maintenance_Planning','[PSYCHO] / Foundations_and_Common_Factors / Goals_Values_and_Maintenance_Planning',0,
'[PSYCHO] > Measurement_Based_Care_and_Feedback > Measurement_and_Feedback_Systems','[PSYCHO] / Measurement_Based_Care_and_Feedback / Measurement_and_Feedback_Systems',0,
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills','[PSYCHO] / Skills_Libraries / Emotion_Regulation_and_Affect_Skills',0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions','[PSYCHO] / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions',0,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing','[PSYCHO] / Trauma_Memory_Imagery_and_Narrative_Work / Cognitive_Trauma_Processing',0,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > EMDR_Informed_Interventions','[PSYCHO] / Trauma_Memory_Imagery_and_Narrative_Work / EMDR_Informed_Interventions',0,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Exposure_Based_Trauma_Processing','[PSYCHO] / Trauma_Memory_Imagery_and_Narrative_Work / Exposure_Based_Trauma_Processing',0,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Imagery_and_Rescripting_Interventions','[PSYCHO] / Trauma_Memory_Imagery_and_Narrative_Work / Imagery_and_Rescripting_Interventions',0,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Narrative_and_Writing_Based_Interventions','[PSYCHO] / Trauma_Memory_Imagery_and_Narrative_Work / Narrative_and_Writing_Based_Interventions',0,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Trauma_Focused_CBT_Components','[PSYCHO] / Trauma_Memory_Imagery_and_Narrative_Work / Trauma_Focused_CBT_Components',0,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance','[SOCIAL] / Social_Support_and_Belonging / Network_Building_And_Maintenance',0,
