predictor_path,anxiety disorders / generalized anxiety disorder / with cognitive rumination / *intrusive_ruminative_thoughts_present,anxiety disorders / generalized anxiety disorder / with cognitive rumination / *rumination_impairs_concentration_or_task_performance,emotional / mood process / *anxious mood,psychological / temporal perspective / future orientation / goal planning / *long-term objective setting,trauma- and stressor-related disorders / posttraumatic stress spectrum / posttraumatic stress disorder / by precipitating trauma / natural disaster / *persistent_negative_beliefs_about_safety_and_world
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing',,,,,950.0
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > EMDR_Informed_Interventions',,,,,930.0
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Exposure_Based_Trauma_Processing',,,,,925.0
'[PSYCHO] > Foundations_and_Common_Factors > Goals_Values_and_Maintenance_Planning',,,,920.0,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',900.0,900.0,,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Imagery_and_Rescripting_Interventions',,,,,900.0
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',950.0,950.0,900.0,,780.0
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Trauma_Focused_CBT_Components',,,,,895.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',,,880.0,,
'[PSYCHO] > Foundations_and_Common_Factors > Case_Formulation_and_Treatment_Planning',,,,880.0,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Narrative_and_Writing_Based_Interventions',,,,,880.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',850.0,850.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',860.0,860.0,800.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',830.0,830.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',820.0,820.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',800.0,800.0,850.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',800.0,800.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',780.0,780.0,750.0,,840.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,,780.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',780.0,780.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,,820.0,,700.0
'[PSYCHO] > Measurement_Based_Care_and_Feedback > Measurement_and_Feedback_Systems',,,,750.0,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,,700.0,,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports',,,,700.0,
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,,,,700.0
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',,,700.0,,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats',,,,650.0,
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',,,640.0,,
'[BIO] > Personalization_and_Monitoring > Self_Assessment_Instruments',,,,600.0,
