code,role,label,ontology_id,conf,freq_hint
C01,CRITERION,Diminished positive emotional response to pleasant events,pleasure_responses,0.86,
C02,CRITERION,Guilt about not enjoying positive experiences,guilt,0.72,
C03,CRITERION,Behavioral autopilot / low moment-to-moment engagement,immediate,0.85,
C04,CRITERION,General emotional blunting (low affect intensity),blunted_affective_reactions_to_emotional_stimuli,0.82,
C05,CRITERION,External presentation of being 'fine' despite internal disengagement,emotion,0.75,
C06,CRITERION,Reduced motivation/interest to pursue non-routine pleasurable activities,pursuing,0.78,
P01,PREDICTOR,Behavioral activation: planned pleasant/activity adherence,behavioral_activation_scheduling,0.72,
P02,PREDICTOR,Positive-event noticing / savoring practice engagement,savoring_positive_moments_practice,0.82,
P03,PREDICTOR,Self-compassion / guilt-reduction practice use,self_compassion_practice,0.92,
P04,PREDICTOR,Micro-activation energizers (5-minute activations),positive_emotion_micropractices_plan,0.85,
P05,PREDICTOR,Brief mindful present-moment check-ins (attention),brief_checkin_practice,0.92,
P06,PREDICTOR,Social connectedness: brief interactions / outreach,micro_connection_opportunities_plan,0.72,
P07,PREDICTOR,Sleep quality and regularity (previous night),sleep_quality_rating,0.78,
P08,PREDICTOR,Morning light exposure / early activity (minutes bright),morning_bright_light_exposure,0.92,
