method,regime,precision,precision_sd,recall,recall_sd,f1,f1_sd,auc,auc_sd,mse,mse_sd,n
Ledoit-Wolf,abrupt,0.21720666617567314,0.06718171430539913,0.8055555555555556,0.15240280983943644,0.3353009796123139,0.08337457714024035,0.6021407990157991,0.10620091282005759,0.030714405477528985,0.011456625057994337,60
Ledoit-Wolf,periodic,0.2114186075075328,0.07063181940866127,0.7977863046044864,0.15779918941847415,0.3284017356564898,0.09396688274166427,0.5965050038321196,0.09552185843592215,0.02339571890832873,0.00784486253191526,60
Ledoit-Wolf,smooth,0.21319775261678797,0.07385141163630964,0.7983585858585858,0.12710647225210145,0.3288573322310136,0.09394987252243242,0.600852651393117,0.08561411151019961,0.029075013204904143,0.009868435395237315,60
Ledoit-Wolf,stationary,0.1814445495623602,0.049423140485472555,0.8577777777777779,0.09016968032113298,0.29639632352707185,0.06819637973950597,0.6450277777777778,0.08144418744162643,0.017918270473564195,0.005445343982356103,60
stationary-gVAR,abrupt,0.4572088044824113,0.27508034074667165,0.3229166666666667,0.19126785455103903,0.3176015298167216,0.137646160591278,0.6362264471639472,0.08805895849780121,0.01743034091392182,0.008004627411389407,60
stationary-gVAR,periodic,0.4364155246724316,0.2752796238332778,0.30889626787354063,0.17873224171772645,0.31022923535546254,0.1481549106327995,0.624258806884426,0.08094466007955937,0.011618475544693802,0.005307540866808469,60
stationary-gVAR,smooth,0.40052784692944454,0.2730422515774304,0.3053030303030303,0.1793405163620721,0.28750218729899474,0.13634463126160212,0.6171635749587524,0.09002769268701448,0.018163112849337287,0.008122939777563731,60
stationary-gVAR,stationary,0.5549770413568293,0.2826350183795597,0.53,0.18408423520149012,0.48477655964932925,0.15225953283820653,0.7640578703703704,0.09649752297089494,0.003013642337209944,0.0021627407985542295,60
tv-gVAR,abrupt,0.35648446844171067,0.1501231339458091,0.655715811965812,0.1025068622641141,0.43582428718320354,0.11651327195623026,0.723932993644532,0.06528331442958461,0.012686294476869737,0.007075497521450429,60
tv-gVAR,periodic,0.32933184149344696,0.13857070962485965,0.6141267066267067,0.11309327669727376,0.40177959615970643,0.10390342112854661,0.6901740160698079,0.0706445347844914,0.011219892519790059,0.007109958932129093,60
tv-gVAR,smooth,0.34154509122792015,0.14586282947013793,0.6553952991452991,0.10643383519434316,0.42325443953350433,0.11633469135002725,0.7219713278695454,0.0748502844875184,0.01104926717078028,0.0073457215204642545,60
tv-gVAR,stationary,0.2857021602174387,0.13658214056215676,0.5947008547008548,0.12872806575298767,0.3579579780838426,0.10827910863047965,0.6773835470085471,0.08327677330030642,0.00946929869193625,0.007353780693210888,60
