method,regime,T,p,noise,seed,precision,recall,f1,auc,mse
tv-gVAR,stationary,80,6,0.3,0,0.34798534798534797,0.5769230769230769,0.4289172868358388,0.6829594017094016,0.010150819091786152
stationary-gVAR,stationary,80,6,0.3,0,1.0,0.5,0.6666666666666667,0.798611111111111,0.002035770180264611
Ledoit-Wolf,stationary,80,6,0.3,0,0.25,0.8333333333333335,0.38461538461538464,0.625,0.01635271822540085
tv-gVAR,stationary,80,6,0.3,1,0.2890717188794112,0.5641025641025641,0.37765515160132934,0.6410256410256411,0.011057591029655475
stationary-gVAR,stationary,80,6,0.3,1,0.4285714285714286,0.5,0.4615384615384616,0.8020833333333336,0.003355076441894275
Ledoit-Wolf,stationary,80,6,0.3,1,0.27777777777777773,0.8333333333333335,0.41666666666666674,0.7083333333333331,0.024082741189652142
tv-gVAR,stationary,80,6,0.3,2,0.19846051384512922,0.32051282051282054,0.2407163593993792,0.49866452991453003,0.00870213934294284
stationary-gVAR,stationary,80,6,0.3,2,1.0,0.33333333333333337,0.5,0.638888888888889,0.003162849002572697
Ledoit-Wolf,stationary,80,6,0.3,2,0.19230769230769232,0.8333333333333335,0.3125,0.375,0.020959668749166157
tv-gVAR,stationary,80,6,0.3,3,0.2395958616546852,0.4487179487179486,0.3085253266199558,0.5579594017094016,0.013208312773786202
stationary-gVAR,stationary,80,6,0.3,3,0.5,0.5,0.5,0.65625,0.0055134966848056416
Ledoit-Wolf,stationary,80,6,0.3,3,0.20833333333333337,0.8333333333333335,0.33333333333333337,0.5625,0.02614564798733645
tv-gVAR,stationary,80,6,0.3,4,0.2920438535823151,0.5256410256410258,0.3727724288095805,0.625534188034188,0.015411473481453402
stationary-gVAR,stationary,80,6,0.3,4,0.5,0.33333333333333337,0.4,0.5208333333333331,0.005964150250318072
Ledoit-Wolf,stationary,80,6,0.3,4,0.20833333333333337,0.8333333333333335,0.33333333333333337,0.673611111111111,0.020222049769813122
tv-gVAR,stationary,80,6,0.5,0,0.24807998588958344,0.7179487179487178,0.367924539228887,0.6367521367521367,0.020881738418140148
stationary-gVAR,stationary,80,6,0.5,0,0.4,0.6666666666666667,0.5,0.888888888888889,0.0038745590651370824
Ledoit-Wolf,stationary,80,6,0.5,0,0.25,0.8333333333333335,0.38461538461538464,0.6319444444444445,0.01637258087184714
tv-gVAR,stationary,80,6,0.5,1,0.21672314688198388,0.7051282051282051,0.33084934623972795,0.6300747863247863,0.02232706672420678
stationary-gVAR,stationary,80,6,0.5,1,0.27777777777777773,0.8333333333333335,0.41666666666666674,0.7291666666666667,0.006015617422237537
