predictor_path,dissociative disorders / depersonalization andor derealization disorder / *emotional_numbing_or_reduced_affect,obsessive-compulsive and related disorders / body dysmorphic disorder / behavior patterns / camouflaging or comparing or seeking reassurance / *camouflaging_public_appearance,sleep-wake disorders / central disorders of hypersomnolence / unspecified hypersomnolence disorder / *automatic_behavior_during_mundane_tasks
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing',920.0,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Trauma_Focused_CBT_Components',910.0,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > EMDR_Informed_Interventions',900.0,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Exposure_Based_Trauma_Processing',880.0,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Imagery_and_Rescripting_Interventions',860.0,,
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Stabilization_and_Resourcing',840.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',820.0,,820.0
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Narrative_and_Writing_Based_Interventions',820.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',850.0,,700.0
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',900.0,500.0,900.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',,,750.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',,,720.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',,520.0,920.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,720.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,700.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,680.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,,650.0
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,,650.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',,650.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',,640.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,,620.0
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,,610.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,600.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,580.0,
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,500.0,
