feature_path_full,domain,n_present_runs,presence_frequency,mean_rank_present,std_rank_present,mean_score_present,std_score_present
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / ecological_momentary_assessment_ema / momentary_affect_and_stress / ema_stress_level,BIO,5,1.0,19.2,11.788129,0.22307391,0.012523141
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rehabilitation_and_functional_restoration / somatic_symptom_and_stress_physiology_interfaces / post_illness_functional_restoration_pathway,BIO,5,1.0,79.0,32.45304,0.20520835,0.009354556
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / affect_mood_and_stress_selfreports / perceived_stress_level_rating,BIO,5,1.0,100.6,50.3611,0.20351069,0.013016416
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rehabilitation_and_functional_restoration / somatic_symptom_and_stress_physiology_interfaces / exercise_intolerance_evaluation_referral_pathway,BIO,4,0.8,118.5,44.791183,0.19870368,0.0046781455
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rehabilitation_and_functional_restoration / somatic_symptom_and_stress_physiology_interfaces / breathing_pattern_disorder_evaluation_referral_pathway,BIO,4,0.8,135.0,21.575449,0.19722247,0.0028517148
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / ecological_momentary_assessment_ema / momentary_affect_and_stress / ema_calmness_safety_signal,BIO,3,0.6,131.33333,18.90914,0.19759654,0.008704439
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rehabilitation_and_functional_restoration / somatic_symptom_and_stress_physiology_interfaces / autonomic_function_assessment_referral_pathway,BIO,3,0.6,178.66667,19.154345,0.19094896,0.004231299
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / ecological_momentary_assessment_ema / momentary_affect_and_stress / ema_mood_checkin,BIO,2,0.4,150.5,0.5,0.19741526,0.0059748217
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / ecological_momentary_assessment_ema / momentary_affect_and_stress / ema_anxiety_arousal,BIO,2,0.4,188.5,8.5,0.19267547,0.0063100904
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / affect_mood_and_stress_selfreports / mood_diary,BIO,2,0.4,191.5,6.5,0.19214354,0.0058366507
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rehabilitation_and_functional_restoration / somatic_symptom_and_stress_physiology_interfaces / return_to_activity_clearance_and_coordination_pathway,BIO,1,0.2,122.0,0.0,0.20831022,0.0
BIO / personalization_monitoring_and_data_feedback / personalization_workflows / baseline_assessment_workup_framework,BIO,1,0.2,124.0,0.0,0.18885063,0.0
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / affect_mood_and_stress_selfreports / stress_scale_selfreport,BIO,1,0.2,143.0,0.0,0.20444824,0.0
