predictor_path,depressive disorders / major depressive disorder (unipolar depression) / single episode / anxious distress type / *feeling_nervous_or_on_edge,early_adulthood / cognitive_development / paradigm_flexibility / belief_revision / *cognitive_dissonance_resolution,trauma- and stressor-related disorders / acute stress responses / acute stress disorder / *physiologic_reactivity_to_cues
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,,880.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',730.0,920.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',750.0,880.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',900.0,780.0,720.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',800.0,820.0,700.0
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Exposure_Based_Trauma_Processing',,,760.0
'[PSYCHO] > Cognitive_and_Metacognitive_Interventions > Cognitive_Remediation_and_Rehabilitation',,750.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,750.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,700.0,780.0
'[PSYCHO] > Trauma_Memory_Imagery_and_Narrative_Work > Cognitive_Trauma_Processing',,,740.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',720.0,,700.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,,700.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',700.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',600.0,800.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Stress_Inoculation_and_Coping_Skills',,,700.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,,680.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',680.0,,
'[PSYCHO] > Cognitive_and_Metacognitive_Interventions > Metacognitive_and_Attention_Based_Interventions',650.0,,
'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',,650.0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports',,620.0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',580.0,,
