predictor_path,emotional / negative emotions / *compulsion,personality disorders / other personality disorders / depressive personality disorder / *self_critical_rumination,psychological / environmental mastery / ability to manage environment / time management / *meeting deadlines,psychological / temporal perspective / time management / scheduling / *allocating time efficiently
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',940.0,,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',880.0,950.0,900.0,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,900.0,,
'[PSYCHO] > Measurement_Based_Care_and_Feedback > Measurement_and_Feedback_Systems',,,,900.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',920.0,860.0,,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports',,,,880.0
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats',,,,860.0
'[PSYCHO] > Humanistic_and_Experiential_Therapies > Emotion_Focused_Therapy',860.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,850.0,,
'[PSYCHO] > Foundations_and_Common_Factors > Goals_Values_and_Maintenance_Planning',,,,850.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',880.0,,720.0,900.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,830.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',860.0,780.0,850.0,
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',850.0,,800.0,
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,,,820.0
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',,820.0,,
'[PSYCHO] > Brief_and_Motivational_Approaches > Solution_Focused_Brief_Therapy',820.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,,,820.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',840.0,800.0,800.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,800.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',800.0,,,
'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',,,,800.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',,780.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,,750.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,,,750.0
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',,,700.0,
'[BIO] > Personalization_and_Monitoring > Self_Assessment_Instruments',,,,700.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Stress_Inoculation_and_Coping_Skills',,,700.0,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',,,680.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,,680.0,
