predictor_path,depressive disorders / disruptive mood dysregulation disorder / *severe_temper_outbursts_out_of_proportion_to_provocation,emotional / positive emotions / love / bonding / *emotional bonding,emotional / subjective affective feeling / *feeling out of control,trauma- and stressor-related disorders / adjustment disorders / with somatic symptoms / *reassurance_seeking_related_to_symptoms
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,900.0,,
'[PSYCHO] > Skills_Libraries > Interpersonal_and_Communication_Skills',,850.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',820.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Assessment_and_Goal_Setting',,820.0,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',780.0,,880.0,750.0
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Conflict_and_Relationship_Repair',,800.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',,,860.0,700.0
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Contextual_and_Practical_Supports',,780.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',760.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',760.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Skill_Building_and_Psychoeducation',,760.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',730.0,,,780.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',830.0,780.0,,650.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',750.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',740.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Therapy_and_Support_Formats',,740.0,,
'[SOCIAL] > Romantic_Intimacy_and_Relationships > Relational_Therapeutic_Services',,740.0,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',790.0,,,680.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,,,720.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',770.0,,,660.0
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,780.0,,590.0
'[PSYCHO] > Brief_and_Motivational_Approaches > Coaching_and_Behavior_Change_Support',,,,610.0
'[PSYCHO] > Brief_and_Motivational_Approaches > Motivational_Interviewing_Approach',,,,590.0
'[BIO] > Nutrition_and_Metabolism > Hydration_and_Beverage_Tools',,,550.0,
'[BIO] > Nutrition_and_Metabolism > Meal_Planning_and_Structure',,,550.0,
'[BIO] > Nutrition_and_Metabolism > Dietary_Patterns',,,520.0,
'[BIO] > Personalization_and_Monitoring > Self_Assessment_Instruments',,,520.0,
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',,,420.0,
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',,,400.0,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',,,390.0,
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',,,380.0,
