feature_path_full,domain,n_present_runs,presence_frequency,mean_rank_present,std_rank_present,mean_score_present,std_score_present
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / hunger_fullness_cue_tracking,BIO,5,1.0,1.0,0.0,0.28523687,0.023299415
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / planned_snack_structure,BIO,5,1.0,4.0,1.264911,0.23628226,0.012386321
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / mindful_eating_practice,BIO,5,1.0,5.4,1.8547237,0.23240343,0.011283225
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / increase_whole_food_density,BIO,5,1.0,5.8,3.7094474,0.23397835,0.0024157302
BIO / sleep_circadian_and_restoration / circadian_entrainment / activity_and_meal_cues / meal_timing_circadian_cue,BIO,5,1.0,9.4,10.365327,0.23879163,0.02201493
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / environment_design_for_eating,BIO,5,1.0,10.2,2.993326,0.22565234,0.011988529
BIO / nutrition_hydration_and_metabolic_health / dietary_patterns_and_frameworks / mind_diet,BIO,5,1.0,12.4,3.0724583,0.2230628,0.010320414
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / clinical_nutrition_counseling,BIO,5,1.0,17.4,7.552483,0.21996346,0.011024056
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / reduce_ultraprocessed_foods,BIO,5,1.0,20.6,7.657676,0.21641883,0.009183405
BIO / sleep_circadian_and_restoration / circadian_entrainment / activity_and_meal_cues / social_rhythm_stabilization,BIO,5,1.0,24.8,31.415918,0.22391085,0.01756488
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / somatic_and_interoceptive_selfreports / appetite_and_satiety_log,BIO,5,1.0,29.8,21.646246,0.21542029,0.012730435
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / meal_delivery_healthy,BIO,5,1.0,30.4,19.10602,0.21315026,0.008027178
BIO / nutrition_hydration_and_metabolic_health / meal_planning_and_structure / planning_tools / dietitian_coaching,BIO,5,1.0,33.8,19.21874,0.21079767,0.009358292
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / night_awakenings_support / return_to_bed_settling_routine,BIO,5,1.0,45.6,70.542465,0.2187651,0.011388455
BIO / nutrition_hydration_and_metabolic_health / medical_nutrition_therapy_tools / medical_nutrition_therapy_plan,BIO,5,1.0,46.8,15.992498,0.20576362,0.007928087
BIO / sleep_circadian_and_restoration / circadian_entrainment / activity_and_meal_cues / consistent_daily_first_meal_anchor,BIO,5,1.0,48.6,64.68261,0.2177107,0.016443865
BIO / nutrition_hydration_and_metabolic_health / eating_behavior_and_satiety_skills / reduce_liquid_calories,BIO,5,1.0,49.4,34.40698,0.20781271,0.011062525
