pseudoprofile_id,predictor_path,predictor_path_canonical,criterion,criterion_leaf,criterion_path,mapping_score,hyde_score_scaled,fused_score
pseudoprofile_FTC_ID013,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices','[BIO] / Sleep_and_Circadian / Sleep_Routines_and_Practices',emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,980.0,,980.0
pseudoprofile_FTC_ID013,'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies','[BIO] / Somatic_and_Interventional / Brain_Stimulation_Therapies',substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,930.0,,930.0
pseudoprofile_FTC_ID013,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,900.0,,900.0
pseudoprofile_FTC_ID013,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Family',substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,880.0,,880.0
pseudoprofile_FTC_ID013,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Psychiatric_Pharmacotherapy_Classes',substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,880.0,,880.0
pseudoprofile_FTC_ID013,'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Sleep_Related_Pharmacotherapy_Classes',substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,860.0,,860.0
pseudoprofile_FTC_ID013,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Montages',substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,860.0,,860.0
pseudoprofile_FTC_ID013,'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback','[BIO] / Neuromodulation_and_Neurostimulation / Biofeedback_and_Neurofeedback',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,860.0,,860.0
pseudoprofile_FTC_ID013,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Family',substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,850.0,,850.0
pseudoprofile_FTC_ID013,'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Substance_Use_Treatment_Pharmacotherapy_Classes',substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,850.0,,850.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions','[PSYCHO] / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions',emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,850.0,,850.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation',substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,830.0,,830.0
pseudoprofile_FTC_ID013,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,830.0,,830.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries','[PSYCHO] / Cognitive_Behavioral_Therapies / CBT_Skills_Training_Libraries',emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,820.0,,820.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,820.0,,820.0
pseudoprofile_FTC_ID013,'[BIO] > Pharmacology_and_Biomedical_Treatments > AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes',substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,820.0,,820.0
pseudoprofile_FTC_ID013,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Psychiatric_Pharmacotherapy_Classes',substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,800.0,,800.0
pseudoprofile_FTC_ID013,'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback','[BIO] / Neuromodulation_and_Neurostimulation / Biofeedback_and_Neurofeedback',substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,800.0,,800.0
pseudoprofile_FTC_ID013,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices','[BIO] / Sleep_and_Circadian / Sleep_Routines_and_Practices',sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,780.0,,780.0
pseudoprofile_FTC_ID013,'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Sleep_Related_Pharmacotherapy_Classes',sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,760.0,,760.0
pseudoprofile_FTC_ID013,'[BIO] > Sleep_and_Circadian > Sleep_Supplements','[BIO] / Sleep_and_Circadian / Sleep_Supplements',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,760.0,,760.0
pseudoprofile_FTC_ID013,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,750.0,,750.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,750.0,,750.0
pseudoprofile_FTC_ID013,'[BIO] > Sleep_and_Circadian > Sleep_Environment','[BIO] / Sleep_and_Circadian / Sleep_Environment',emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,750.0,,750.0
pseudoprofile_FTC_ID013,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Family',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,750.0,,750.0
pseudoprofile_FTC_ID013,'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes','[BIO] / Sleep_and_Circadian / Sleep_Pharmacotherapy_Classes',sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,740.0,,740.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,730.0,,730.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Brief_and_Motivational_Approaches > Coaching_and_Behavior_Change_Support','[PSYCHO] / Brief_and_Motivational_Approaches / Coaching_and_Behavior_Change_Support',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,720.0,,720.0
pseudoprofile_FTC_ID013,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Montages',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,720.0,,720.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring','[PSYCHO] / Cognitive_Behavioral_Therapies / Cognitive_Restructuring',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,710.0,,710.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Brief_and_Motivational_Approaches > Motivational_Interviewing_Approach','[PSYCHO] / Brief_and_Motivational_Approaches / Motivational_Interviewing_Approach',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,700.0,,700.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation','[PSYCHO] / Skills_Libraries / Stress_Management_and_Relaxation',emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,700.0,,700.0
pseudoprofile_FTC_ID013,'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance','[SOCIAL] / Social_Support_and_Belonging / Network_Building_And_Maintenance',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,700.0,,700.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation',substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,700.0,,700.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Exposure_and_Inhibitory_Learning',substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,700.0,,700.0
pseudoprofile_FTC_ID013,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,700.0,,700.0
pseudoprofile_FTC_ID013,'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback','[BIO] / Neuromodulation_and_Neurostimulation / Biofeedback_and_Neurofeedback',emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,700.0,,700.0
pseudoprofile_FTC_ID013,'[BIO] > Sleep_and_Circadian > Sleep_Environment','[BIO] / Sleep_and_Circadian / Sleep_Environment',sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,700.0,,700.0
