mapping_predictor_path,mapping_predictor_path_canonical,n_matched_hyde_leaves,matched_hyde_leaves_joined
'[BIO] > Movement_and_Bodywork > Digital_and_Remote_Therapy_Formats','[BIO] / Movement_and_Bodywork / Digital_and_Remote_Therapy_Formats',0,
'[BIO] > Personalization_and_Monitoring > Self_Assessment_Instruments','[BIO] / Personalization_and_Monitoring / Self_Assessment_Instruments',0,
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring','[BIO] / Personalization_and_Monitoring / Wearables_and_Home_Monitoring',0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Medication_Safety_and_Personalization_Tools','[BIO] / Pharmacology_and_Biomedical_Treatments / Medication_Safety_and_Personalization_Tools',0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',0,
'[BIO] > Sleep_and_Circadian > Sleep_Environment','[BIO] / Sleep_and_Circadian / Sleep_Environment',0,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes','[BIO] / Sleep_and_Circadian / Sleep_Pharmacotherapy_Classes',0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices','[BIO] / Sleep_and_Circadian / Sleep_Routines_and_Practices',0,
'[BIO] > Somatic_and_Interventional > Care_Pathway_and_Safety_Infrastructure','[BIO] / Somatic_and_Interventional / Care_Pathway_and_Safety_Infrastructure',0,
'[BIO] > Somatic_and_Interventional > RapidActing_and_Anesthesia_Assisted_Therapies','[BIO] / Somatic_and_Interventional / RapidActing_and_Anesthesia_Assisted_Therapies',0,
'[PSYCHO] > Brief_and_Motivational_Approaches > Coaching_and_Behavior_Change_Support','[PSYCHO] / Brief_and_Motivational_Approaches / Coaching_and_Behavior_Change_Support',0,
'[PSYCHO] > Brief_and_Motivational_Approaches > Motivational_Interviewing_Approach','[PSYCHO] / Brief_and_Motivational_Approaches / Motivational_Interviewing_Approach',0,
'[PSYCHO] > Brief_and_Motivational_Approaches > Solution_Focused_Brief_Therapy','[PSYCHO] / Brief_and_Motivational_Approaches / Solution_Focused_Brief_Therapy',0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation',0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavioral_Experiments_and_Learning',0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries','[PSYCHO] / Cognitive_Behavioral_Therapies / CBT_Skills_Training_Libraries',0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring','[PSYCHO] / Cognitive_Behavioral_Therapies / Cognitive_Restructuring',0,
'[PSYCHO] > Cognitive_and_Metacognitive_Interventions > Metacognitive_and_Attention_Based_Interventions','[PSYCHO] / Cognitive_and_Metacognitive_Interventions / Metacognitive_and_Attention_Based_Interventions',0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats','[PSYCHO] / Digital_and_Tech_Enabled_Solutions / Care_Delivery_Formats',0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports','[PSYCHO] / Digital_and_Tech_Enabled_Solutions / Digital_Tools_and_Supports',0,
'[PSYCHO] > Foundations_and_Common_Factors > Case_Formulation_and_Treatment_Planning','[PSYCHO] / Foundations_and_Common_Factors / Case_Formulation_and_Treatment_Planning',0,
'[PSYCHO] > Foundations_and_Common_Factors > Therapeutic_Relationship_and_Context','[PSYCHO] / Foundations_and_Common_Factors / Therapeutic_Relationship_and_Context',0,
'[PSYCHO] > Humanistic_and_Experiential_Therapies > Emotion_Focused_Therapy','[PSYCHO] / Humanistic_and_Experiential_Therapies / Emotion_Focused_Therapy',0,
'[PSYCHO] > Insight_Oriented_Therapies > Mentalization_Based_Interventions','[PSYCHO] / Insight_Oriented_Therapies / Mentalization_Based_Interventions',0,
'[PSYCHO] > Measurement_Based_Care_and_Feedback > Measurement_and_Feedback_Systems','[PSYCHO] / Measurement_Based_Care_and_Feedback / Measurement_and_Feedback_Systems',0,
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills','[PSYCHO] / Skills_Libraries / Emotion_Regulation_and_Affect_Skills',0,
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation','[PSYCHO] / Skills_Libraries / Stress_Management_and_Relaxation',0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy','[PSYCHO] / Third_Wave_and_Contextual_Therapies / ACT_Contextual_Behavioral_Therapy',0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions','[PSYCHO] / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions',0,
