predictor_path,anxiety disorders / generalized anxiety disorder / with cognitive rumination / *future_oriented_worry_rumination,anxiety disorders / generalized anxiety disorder / with cognitive rumination / *intrusive_ruminative_thoughts_present,bipolar and related disorders / bipolar ii disorder / specifiers / with melancholic features (depressive episodes) / *mood_worsens_in_morning,sleep-wake disorders / circadian rhythm sleep–wake disorders / delayed sleep–wake phase disorder / *delayed_sleep_onset_time,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / sleep-maintenance insomnia / *nocturnal_cognitive_arousal
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',950.0,950.0,930.0,930.0,900.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',860.0,860.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',850.0,850.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',830.0,830.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',780.0,780.0,900.0,880.0,760.0
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',820.0,820.0,800.0,760.0,880.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',800.0,800.0,880.0,740.0,860.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',800.0,800.0,,,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',900.0,900.0,,540.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',780.0,780.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,,820.0,680.0,780.0
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,,860.0,650.0,740.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,,750.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',,,,700.0,750.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,,720.0,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',,,700.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,,700.0,,
'[BIO] > Somatic_and_Interventional > Adjunctive_Medical_and_Physiologic_Interventions',,,,500.0,
