feature_path_full,domain,n_present_runs,presence_frequency,mean_rank_present,std_rank_present,mean_score_present,std_score_present
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / roles_relationships_and_belonging / social_role_selection_and_prioritization_practice,PSYCHO,5,1.0,4.4,3.4985712,0.2426703,0.008994074
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / roles_relationships_and_belonging / prosocial_contribution_planning,PSYCHO,5,1.0,7.0,3.9496837,0.23786478,0.0077807014
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / roles_relationships_and_belonging / community_belonging_investment_plan,PSYCHO,5,1.0,7.8,3.4871192,0.23736008,0.005338061
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / roles_relationships_and_belonging / belonging_and_values_aligned_community_search_plan,PSYCHO,5,1.0,12.6,5.1224995,0.23275438,0.005065558
PSYCHO / third_wave_and_contextual_therapies / compassion_focused_interventions / compassionate_self_identity_work,PSYCHO,5,1.0,16.6,2.8,0.2291393,0.007623417
PSYCHO / change_process_and_therapeutic_phases / behavior_change_theories_and_modern_protocol_arcs / self_determination_theory_solutions / sdt_relatedness_and_belonging_build,PSYCHO,5,1.0,20.0,8.876937,0.22782214,0.004146903
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / roles_relationships_and_belonging / role_transition_support_plan,PSYCHO,5,1.0,22.0,6.6030297,0.2260859,0.0075333826
PSYCHO / interpersonal_and_attachment_therapies / interpersonal_therapy_family / social_support_mobilization,PSYCHO,5,1.0,26.8,9.108238,0.22344515,0.007951507
PSYCHO / integrative_creative_and_body_oriented_interventions / parts_and_internal_systems_work / self_leadership_practice,PSYCHO,5,1.0,27.8,8.565045,0.22318089,0.008410119
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / lifestyle_performance_and_wellbeing_integration / social_connection_investment_plan,PSYCHO,5,1.0,31.6,11.235657,0.2221806,0.0043529896
PSYCHO / lifestyle_philosophies / modern_psychology_informed_lifestyles / self_determination_theory_lifestyle / sdt_relatedness_and_belonging_intention_practice,PSYCHO,5,1.0,37.2,18.048822,0.21984196,0.005093067
PSYCHO / self_and_identity_work / self_esteem_and_self_worth_work / self_worth_from_values_practice,PSYCHO,5,1.0,37.6,17.522556,0.22109175,0.012533124
PSYCHO / change_process_and_therapeutic_phases / experiential_disconfirmation / relational_and_insession_experiential_work / authentic_self_disclosure_practice,PSYCHO,5,1.0,43.2,25.474693,0.21951306,0.013624064
PSYCHO / self_and_identity_work / shame_guilt_and_self_forgiveness / disclosure_with_boundaries_practice,PSYCHO,5,1.0,43.4,24.450766,0.21882,0.013023447
PSYCHO / self_and_identity_work / self_esteem_and_self_worth_work / self_compassion_for_failure_practice,PSYCHO,5,1.0,43.6,14.650597,0.21818276,0.010622612
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / lifestyle_performance_and_wellbeing_integration / self_compassion_after_failure_practice,PSYCHO,5,1.0,47.6,16.499697,0.21587789,0.005166552
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / environmental_and_social_system_design / boundary_with_external_stressors_plan,PSYCHO,5,1.0,47.6,17.760632,0.21634471,0.0065476354
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / roles_relationships_and_belonging / relational_safety_stabilization_practice,PSYCHO,5,1.0,48.2,22.471315,0.2172525,0.009416518
PSYCHO / brief_and_motivational_approaches / coaching_and_behavior_change_support / identity_based_habit_work,PSYCHO,5,1.0,48.2,41.150455,0.21860102,0.0100573255
PSYCHO / substance_use_recovery_and_behavior_change / recovery_identity_and_meaning / narrative_and_self_concept_work / strengths_based_recovery_identity_map,PSYCHO,5,1.0,51.0,31.260199,0.21728632,0.013063883
PSYCHO / self_and_identity_work / self_esteem_and_self_worth_work / reduce_self_comparison_practice,PSYCHO,5,1.0,52.2,20.70169,0.21559295,0.013029481
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / roles_relationships_and_belonging / care_seeking_care_giving_balance_practice,PSYCHO,5,1.0,52.8,9.410632,0.21429935,0.0069121616
PSYCHO / substance_use_recovery_and_behavior_change / affect_regulation_for_recovery / shame_guilt_and_self_attack_work / reduce_self_criticism_after_setback,PSYCHO,5,1.0,57.6,36.625675,0.2150921,0.009911052
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / roles_relationships_and_belonging / repair_and_trust_repetition_practice,PSYCHO,5,1.0,59.4,31.613922,0.21443626,0.009350417
PSYCHO / systemic_couple_family_parenting / parenting_and_caregiver_interventions / parental_self_regulation_skills,PSYCHO,5,1.0,60.0,24.223955,0.21309924,0.0071749557
PSYCHO / substance_use_recovery_and_behavior_change / recovery_identity_and_meaning / narrative_and_self_concept_work / self_respect_practice_in_recovery_context,PSYCHO,5,1.0,65.8,31.707413,0.21284428,0.01035337
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / autonomy_and_self_directed_growth / future_self_alignment_practice,PSYCHO,5,1.0,67.8,36.20718,0.21235068,0.01239162
PSYCHO / self_and_identity_work / self_esteem_and_self_worth_work / balanced_self_appraisal_practice,PSYCHO,5,1.0,69.6,25.192062,0.21168856,0.011093478
PSYCHO / core_psychological_skills_toolkits / executive_function_and_self_management / initiation_and_followthrough / start_and_persist / implementation_intention_self_management,PSYCHO,5,1.0,69.6,25.656189,0.21074505,0.009373507
PSYCHO / change_process_and_therapeutic_phases / behavior_change_theories_and_modern_protocol_arcs / social_cognitive_theory_solutions / sct_social_support_as_opportunity_design,PSYCHO,5,1.0,72.0,24.174368,0.21080776,0.0051632384
PSYCHO / change_process_and_therapeutic_phases / behavior_change_theories_and_modern_protocol_arcs / modern_clinical_protocol_arcs_solutions / act_process_self_as_context_work,PSYCHO,5,1.0,76.4,17.61363,0.20937765,0.003938834
PSYCHO / systemic_couple_family_parenting / couple_based_interventions / shared_meaning_goals_work,PSYCHO,5,1.0,76.8,47.671375,0.21251182,0.011385205
PSYCHO / change_process_and_therapeutic_phases / readiness_and_engagement / wellbeing_optimization_entry_path / community_and_belonging_entry_plan,PSYCHO,5,1.0,78.0,39.166313,0.21094528,0.0022106338
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / environmental_and_social_system_design / identity_supporting_environment_redesign,PSYCHO,5,1.0,78.8,37.17203,0.2105202,0.008489541
PSYCHO / change_process_and_therapeutic_phases / behavioral_integration / environmental_and_social_system_design / support_seeking_and_receiving_plan,PSYCHO,5,1.0,80.0,25.75267,0.20909834,0.0034313796
PSYCHO / change_process_and_therapeutic_phases / phase_management_and_sequencing / flourishing_and_prevention_crosscutting / self_compassion_and_dignity_protection_plan,PSYCHO,5,1.0,82.4,29.295732,0.20852582,0.006306763
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / parts_integration_and_self_leadership / self_respect_and_dignity_boundaries_practice,PSYCHO,5,1.0,82.4,34.851685,0.20972018,0.012001887
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / roles_relationships_and_belonging / attachment_needs_expression_practice,PSYCHO,5,1.0,83.0,31.6291,0.20943522,0.008108144
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / parts_integration_and_self_leadership / protector_role_renegotiation_practice,PSYCHO,5,1.0,83.8,57.26919,0.21084526,0.013539761
PSYCHO / change_process_and_therapeutic_phases / identity_consolidation / parts_integration_and_self_leadership / compassionate_internal_dialogue_practice,PSYCHO,5,1.0,84.0,24.803226,0.20887718,0.009391492
