criterion_leaf,criterion_path,predictor_path,_mapping_score
*anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',820.0
*anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',900.0
*anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,'[BIO] > Sleep_and_Circadian > Sleep_Environment',860.0
*anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',800.0
*anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',780.0
*anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',830.0
*anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',770.0
*anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',760.0
*anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',820.0
*anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *anxiety_or_anticipatory_fear_before_sleep_due_to_nightmares,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',880.0
*autonomic_arousal_during_nightmares,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced parasomnias / medication-associated nightmare disorder / *autonomic_arousal_during_nightmares,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',400.0
*autonomic_arousal_during_nightmares,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced parasomnias / medication-associated nightmare disorder / *autonomic_arousal_during_nightmares,'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',420.0
*autonomic_arousal_during_nightmares,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced parasomnias / medication-associated nightmare disorder / *autonomic_arousal_during_nightmares,'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',800.0
*autonomic_arousal_during_nightmares,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced parasomnias / medication-associated nightmare disorder / *autonomic_arousal_during_nightmares,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',750.0
*autonomic_arousal_during_nightmares,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced parasomnias / medication-associated nightmare disorder / *autonomic_arousal_during_nightmares,'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',600.0
*autonomic_arousal_during_nightmares,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced parasomnias / medication-associated nightmare disorder / *autonomic_arousal_during_nightmares,'[BIO] > Sleep_and_Circadian > Sleep_Environment',650.0
*autonomic_arousal_during_nightmares,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced parasomnias / medication-associated nightmare disorder / *autonomic_arousal_during_nightmares,'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',860.0
*autonomic_arousal_during_nightmares,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced parasomnias / medication-associated nightmare disorder / *autonomic_arousal_during_nightmares,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',700.0
*autonomic_arousal_during_nightmares,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced parasomnias / medication-associated nightmare disorder / *autonomic_arousal_during_nightmares,'[BIO] > Sleep_and_Circadian > Sleep_Supplements',500.0
*autonomic_arousal_during_nightmares,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced parasomnias / medication-associated nightmare disorder / *autonomic_arousal_during_nightmares,'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',500.0
*awakening_due_to_nightmare,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *awakening_due_to_nightmare,'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',360.0
*awakening_due_to_nightmare,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *awakening_due_to_nightmare,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',500.0
*awakening_due_to_nightmare,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *awakening_due_to_nightmare,'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',650.0
*awakening_due_to_nightmare,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *awakening_due_to_nightmare,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',880.0
*awakening_due_to_nightmare,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *awakening_due_to_nightmare,'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',700.0
*awakening_due_to_nightmare,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *awakening_due_to_nightmare,'[BIO] > Sleep_and_Circadian > Sleep_Environment',850.0
*awakening_due_to_nightmare,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *awakening_due_to_nightmare,'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',720.0
*awakening_due_to_nightmare,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *awakening_due_to_nightmare,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',900.0
*awakening_due_to_nightmare,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *awakening_due_to_nightmare,'[BIO] > Sleep_and_Circadian > Sleep_Supplements',680.0
*awakening_due_to_nightmare,sleep-wake disorders / parasomnias / rapid eye movement (rem)–related parasomnias / nightmare disorder / *awakening_due_to_nightmare,'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats',320.0
*intrusive_rumination_post_awakening,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / early-morning awakening insomnia / *intrusive_rumination_post_awakening,'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',750.0
*intrusive_rumination_post_awakening,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / early-morning awakening insomnia / *intrusive_rumination_post_awakening,'[BIO] > Pharmacology_and_Biomedical_Treatments > Pain_and_Somatic_Pharmacotherapy_Classes',740.0
*intrusive_rumination_post_awakening,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / early-morning awakening insomnia / *intrusive_rumination_post_awakening,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',760.0
*intrusive_rumination_post_awakening,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / early-morning awakening insomnia / *intrusive_rumination_post_awakening,'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',780.0
*intrusive_rumination_post_awakening,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / early-morning awakening insomnia / *intrusive_rumination_post_awakening,'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',720.0
*intrusive_rumination_post_awakening,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / early-morning awakening insomnia / *intrusive_rumination_post_awakening,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',900.0
*intrusive_rumination_post_awakening,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / early-morning awakening insomnia / *intrusive_rumination_post_awakening,'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',860.0
*intrusive_rumination_post_awakening,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / early-morning awakening insomnia / *intrusive_rumination_post_awakening,'[BIO] > Sleep_and_Circadian > Sleep_Environment',880.0
*intrusive_rumination_post_awakening,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / early-morning awakening insomnia / *intrusive_rumination_post_awakening,'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',800.0
*intrusive_rumination_post_awakening,sleep-wake disorders / insomnia disorders / chronic insomnia disorder / early-morning awakening insomnia / *intrusive_rumination_post_awakening,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',820.0
*vivid_dreams,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / ssri or snri-associated insomnia / *vivid_dreams,'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',750.0
*vivid_dreams,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / ssri or snri-associated insomnia / *vivid_dreams,'[BIO] > Pharmacology_and_Biomedical_Treatments > Pain_and_Somatic_Pharmacotherapy_Classes',740.0
*vivid_dreams,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / ssri or snri-associated insomnia / *vivid_dreams,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',760.0
*vivid_dreams,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / ssri or snri-associated insomnia / *vivid_dreams,'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',780.0
*vivid_dreams,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / ssri or snri-associated insomnia / *vivid_dreams,'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',720.0
*vivid_dreams,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / ssri or snri-associated insomnia / *vivid_dreams,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',900.0
*vivid_dreams,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / ssri or snri-associated insomnia / *vivid_dreams,'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',860.0
*vivid_dreams,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / ssri or snri-associated insomnia / *vivid_dreams,'[BIO] > Sleep_and_Circadian > Sleep_Environment',880.0
