predictor_path,SOCIAL / social skills / conflict resolution / emotional regulation / *maintaining composure,"disruptive, impulse-control, and conduct disorders / anger or aggression outburst disorders / intermittent explosive disorder / harm profile / with property destruction / *disproportionate_reaction_to_stressor",emotional / affective process / emotion process / *shame,emotional / arousal / wanting / goal-directed desire / *intentional desire
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,,900.0,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,,900.0,
'[PSYCHO] > Brief_and_Motivational_Approaches > Motivational_Interviewing_Approach',,,,900.0
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',880.0,,900.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation',,,880.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,,880.0,
'[PSYCHO] > Brief_and_Motivational_Approaches > Coaching_and_Behavior_Change_Support',,,,880.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',880.0,,,
'[PSYCHO] > Foundations_and_Common_Factors > Goals_Values_and_Maintenance_Planning',,,,860.0
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,,850.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Functional_Analytic_Behavior_Therapy',,,840.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',920.0,750.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,,820.0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',,820.0,,
'[PSYCHO] > Brief_and_Motivational_Approaches > Solution_Focused_Brief_Therapy',,,,820.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,700.0,920.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',700.0,760.0,,840.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,,,760.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,680.0,830.0,
'[PSYCHO] > Foundations_and_Common_Factors > Case_Formulation_and_Treatment_Planning',,,,750.0
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',,780.0,,640.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',650.0,700.0,,780.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',,700.0,,
'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',,,,700.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > DBT_Skills_Based_Therapy',,700.0,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Radically_Open_Skills_Based_Therapy',540.0,680.0,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Stress_Inoculation_and_Coping_Skills',520.0,,,
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',510.0,,,
'[BIO] > Movement_and_Bodywork > Digital_and_Remote_Therapy_Formats',500.0,,,
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',480.0,,,
