criterion_leaf,criterion_path,predictor_path,_mapping_score
*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',860.0
*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',590.0
*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,'[BIO] > Neuromodulation_and_Neurostimulation > Emerging_and_Experimental_Approaches',600.0
*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,'[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation',650.0
*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',750.0
*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',720.0
*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',700.0
*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',700.0
*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',600.0
*craving_urge_to_use_alcohol,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *craving_urge_to_use_alcohol,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',580.0
*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',440.0
*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',600.0
*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',760.0
*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',830.0
*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',700.0
*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,'[BIO] > Sleep_and_Circadian > Sleep_Environment',700.0
*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',740.0
*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',780.0
*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,'[BIO] > Sleep_and_Circadian > Sleep_Supplements',500.0
*early_morning_awakening_post_alcohol,sleep-wake disorders / medication or substance-induced sleep-wake disorders / medication or substance-induced insomnia / alcohol-related insomnia (post-use or rebound) / *early_morning_awakening_post_alcohol,'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',520.0
*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',800.0
*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',700.0
*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,'[BIO] > Nutrition_and_Metabolism > Dietary_Patterns',700.0
*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',800.0
*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',700.0
*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',900.0
*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',700.0
*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',680.0
*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',700.0
*impaired_control_over_substance_use,substance-related and addictive disorders / substance use disorders / other substance use disorders / unknown or other substance use disorder / *impaired_control_over_substance_use,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',680.0
*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,'[BIO] > Sleep_and_Circadian > Sleep_Supplements',760.0
*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,'[PSYCHO] > Brief_and_Motivational_Approaches > Coaching_and_Behavior_Change_Support',720.0
*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,'[PSYCHO] > Brief_and_Motivational_Approaches > Motivational_Interviewing_Approach',700.0
*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',750.0
*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',730.0
*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',710.0
*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',700.0
*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access',680.0
*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',700.0
*larger_amount_than_intended,substance-related and addictive disorders / substance use disorders / alcohol use disorder / *larger_amount_than_intended,'[SOCIAL] > Social_Support_and_Belonging > Support_Network_Development',680.0
*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',880.0
*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',860.0
*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',850.0
*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,'[BIO] > Pharmacology_and_Biomedical_Treatments > AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes',820.0
*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',880.0
*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',860.0
*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',850.0
*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',930.0
*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',830.0
*loss_of_control_over_use,substance-related and addictive disorders / substance use disorders / opioid use disorder / heroin use disorder / *loss_of_control_over_use,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',820.0
*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',700.0
*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',750.0
*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,'[BIO] > Sleep_and_Circadian > Sleep_Environment',750.0
*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',980.0
*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',700.0
*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',820.0
*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',650.0
*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',700.0
*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',600.0
*relaxation techniques,emotional / emotional regulation / coping strategies / stress management / *relaxation techniques,'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',850.0
