mapping_predictor_path,mapping_predictor_path_canonical,n_matched_hyde_leaves,matched_hyde_leaves_joined
'[BIO] > Nutrition_and_Metabolism > Dietary_Patterns','[BIO] / Nutrition_and_Metabolism / Dietary_Patterns',0,
'[BIO] > Nutrition_and_Metabolism > Meal_Planning_and_Structure','[BIO] / Nutrition_and_Metabolism / Meal_Planning_and_Structure',0,
'[BIO] > Nutrition_and_Metabolism > Meal_Templates','[BIO] / Nutrition_and_Metabolism / Meal_Templates',0,
'[BIO] > Nutrition_and_Metabolism > Medical_Nutrition_Therapy_Tools','[BIO] / Nutrition_and_Metabolism / Medical_Nutrition_Therapy_Tools',0,
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring','[BIO] / Personalization_and_Monitoring / Wearables_and_Home_Monitoring',0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Endocrine_and_Metabolic_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Endocrine_and_Metabolic_Pharmacotherapy_Classes',0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Psychiatric_Pharmacotherapy_Classes',0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',0,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies','[BIO] / Sleep_and_Circadian / Sleep_Devices_and_Technologies',0,
'[BIO] > Sleep_and_Circadian > Sleep_Environment','[BIO] / Sleep_and_Circadian / Sleep_Environment',0,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes','[BIO] / Sleep_and_Circadian / Sleep_Pharmacotherapy_Classes',0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices','[BIO] / Sleep_and_Circadian / Sleep_Routines_and_Practices',0,
'[BIO] > Somatic_and_Interventional > Care_Pathway_and_Safety_Infrastructure','[BIO] / Somatic_and_Interventional / Care_Pathway_and_Safety_Infrastructure',0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation','[PSYCHO] / Cognitive_Behavioral_Therapies / Behavior_Change_and_Activation',0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning','[PSYCHO] / Cognitive_Behavioral_Therapies / Exposure_and_Inhibitory_Learning',0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy','[PSYCHO] / Third_Wave_and_Contextual_Therapies / ACT_Contextual_Behavioral_Therapy',0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions','[PSYCHO] / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions',0,
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access','[SOCIAL] / Care_Navigation_Access_and_Coordination / Care_Navigation_and_Access',0,
