feature_path_full,domain,n_present_runs,presence_frequency,mean_rank_present,std_rank_present,mean_score_present,std_score_present
SOCIAL / romantic_intimacy_and_relationships / romantic_relationship_skills_and_support / communication_and_connection / stress_and_coregulation / sleep_fatigue_and_irritability_risk_mitigation_plan,SOCIAL,5,1.0,22.2,12.560254,0.23052914,0.010931536
SOCIAL / work_education_and_role_functioning / work_and_occupational_solutions / job_retention_and_support / energy_and_pacing_for_work_planning,SOCIAL,5,1.0,24.4,19.825237,0.22943504,0.007403867
SOCIAL / work_education_and_role_functioning / work_and_occupational_solutions / job_retention_and_support / return_to_work_planning_service,SOCIAL,5,1.0,71.0,48.96121,0.21707878,0.009864615
SOCIAL / interpersonal_therapeutic_solutions / interpersonal_therapeutic_and_coaching_services / clinical_specialization_focus / cognitive_communication_and_executive_profile_support / fatigue_and_pacing_for_social_interaction_coaching,SOCIAL,4,0.8,83.25,59.175056,0.21997848,0.008645961
SOCIAL / work_education_and_role_functioning / education_and_training_context_solutions / learning_skills_and_structure / time_and_task_organization_coaching,SOCIAL,4,0.8,113.0,55.870384,0.20888598,0.008990852
SOCIAL / work_education_and_role_functioning / work_and_occupational_solutions / job_retention_and_support / workload_and_role_clarity_negotiation_support,SOCIAL,3,0.6,65.666664,25.249863,0.2175231,0.003909692
SOCIAL / work_education_and_role_functioning / work_and_occupational_solutions / job_retention_and_support / job_crafting_support,SOCIAL,3,0.6,130.66667,26.71246,0.20755734,0.0070682955
SOCIAL / work_education_and_role_functioning / work_and_occupational_solutions / job_retention_and_support / manager_communication_planning,SOCIAL,2,0.4,143.0,38.0,0.20514232,0.0046365336
SOCIAL / interpersonal_therapeutic_solutions / interpersonal_therapeutic_and_coaching_services / clinical_specialization_focus / cognitive_communication_and_executive_profile_support / working_memory_load_reduction_in_conversation_strategy_coaching,SOCIAL,2,0.4,151.0,35.0,0.20376855,0.007767774
SOCIAL / work_education_and_role_functioning / work_and_occupational_solutions / job_retention_and_support / workplace_wellbeing_program_enrollment,SOCIAL,2,0.4,168.0,22.0,0.19989505,0.0034041777
SOCIAL / work_education_and_role_functioning / work_and_occupational_solutions / workplace_relationships_and_team_functioning / feedback_conversation_support,SOCIAL,1,0.2,101.0,0.0,0.20084198,0.0
SOCIAL / digital_social_environment / digital_social_environment_solutions / boundaries_and_wellbeing / digital_overload_recovery_plan,SOCIAL,1,0.2,122.0,0.0,0.21055368,0.0
SOCIAL / work_education_and_role_functioning / work_and_occupational_solutions / job_retention_and_support / workplace_onboarding_support,SOCIAL,1,0.2,145.0,0.0,0.19662333,0.0
SOCIAL / romantic_intimacy_and_relationships / romantic_relationship_skills_and_support / relationship_structure_and_life_context / health_disability_and_care_context / fatigue_and_pacing_planning_for_intimacy,SOCIAL,1,0.2,182.0,0.0,0.19617164,0.0
SOCIAL / work_education_and_role_functioning / work_and_occupational_solutions / workplace_relationships_and_team_functioning / professional_supervision_or_consultation,SOCIAL,1,0.2,185.0,0.0,0.19337024,0.0
SOCIAL / work_education_and_role_functioning / work_and_occupational_solutions / access_accommodations_and_protection / confidential_disclosure_planning,SOCIAL,1,0.2,197.0,0.0,0.19282252,0.0
