predictor_path,SOCIAL / social integration / social connectedness / network of friends / social support from friends / emotional support / *listening to concerns,"disruptive, impulse-control, and conduct disorders / cross-cutting or developmental course (for any of the above) / episodic / *episode_emotional_lability",existential / adaptability / abilitytocope / seekingsupport / *askingforhelp,obsessive-compulsive and related disorders / body dysmorphic disorder / behavior patterns / camouflaging or comparing or seeking reassurance / *camouflaging_public_appearance,psychological / autonomy / boundary setting / saying no when necessary / *setting limits,trauma- and stressor-related disorders / proposed or research diagnoses / post-traumatic embitterment disorder / *resentment_rumination
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Access_Barrier_Reduction_Solutions',,,950.0,,,
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access',,,940.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation',,900.0,,,,
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,900.0,,,,900.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,880.0,,,,
'[BIO] > Somatic_and_Interventional > RapidActing_and_Anesthesia_Assisted_Therapies',,880.0,,,,
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,,,,880.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,860.0,,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,,,,,850.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,860.0,,,,830.0
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',,,,,830.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Sensory_and_Network_Modulation',,820.0,,,,
'[PSYCHO] > Brief_and_Motivational_Approaches > Coaching_and_Behavior_Change_Support',,,,,820.0,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Contextual_and_Practical_Supports',,,820.0,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback',,800.0,,,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,,,,,800.0
'[SOCIAL] > Socioeconomic_and_Material_Resource_Solutions > Financial_and_Benefits_Support',,,800.0,,,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',760.0,,,,,820.0
'[PSYCHO] > Skills_Libraries > Interpersonal_and_Communication_Skills',,,,,790.0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',900.0,,,500.0,,950.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,,,,700.0,860.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',730.0,,,,,800.0
'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',,,,,760.0,
'[PSYCHO] > Foundations_and_Common_Factors > Therapeutic_Relationship_and_Context',,,,,760.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Convulsive_and_Seizure_Based_Therapies',,750.0,,,,
'[BIO] > Somatic_and_Interventional > Care_Pathway_and_Safety_Infrastructure',,,750.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,,,720.0,,
'[SOCIAL] > Romantic_Intimacy_and_Relationships > Relational_Therapeutic_Services',,,,,720.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',,,,650.0,,780.0
'[PSYCHO] > Brief_and_Motivational_Approaches > Solution_Focused_Brief_Therapy',,,,,710.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation',,700.0,,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,,,700.0,,
'[SOCIAL] > Family_Parenting_and_Household_Systems > Family_and_Household_Services',,,700.0,,,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Skill_Building_and_Psychoeducation',,,,,700.0,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance',,,700.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,,,680.0,,
'[SOCIAL] > Socioeconomic_and_Material_Resource_Solutions > Housing_and_Neighborhood_Solutions',,,680.0,,,
'[SOCIAL] > Family_Parenting_and_Household_Systems > Parenting_and_Caregiver_Support',,,650.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',,,,640.0,,
'[BIO] > Movement_and_Bodywork > Digital_and_Remote_Therapy_Formats',380.0,,860.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,,,600.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',480.0,,,520.0,,780.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,,,580.0,,
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,,,500.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',450.0,,,,,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',420.0,,,,,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',360.0,,,,,
'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies',350.0,,,,,
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',340.0,,,,,
