t_index,date,P01,P02,P03,P04,P05,P06,P07,P08,C01,C02,C03,C04,C05,C06
0,2025-01-01,0.6897611248821911,0.7012774520056215,0.6746984446504678,0.4792239039201369,0.4995373838893647,0.7805036968445751,0.47942207930162906,0.5977689891211332,5.226258607382425,4.641508934300278,6.03745485581358,5.251078910922151,4.74026590313573,5.7729461568930205
1,2025-01-02,,0.5933252903925921,0.24209120745219254,,0.5146064273476807,0.7729021667796911,0.3650356225918012,0.4606488580651703,,4.020538411124195,,5.138439148771142,3.535683258980247,5.046771014454579
2,2025-01-03,,0.4773877249393507,0.3274315641944655,0.13996946942757832,0.29350718770773915,,,0.584890633012617,2.0635970001093296,3.4274284521381624,5.306716887596485,5.13384107989306,3.6379914517873893,4.852270630148968
3,2025-01-04,0.47106535961145135,0.5191378387099802,0.14953153145739181,0.22795693775685033,0.32383293220347054,0.6047199382702244,0.5122029025476992,0.6306808875872416,2.7123917726341222,2.961892695226994,,4.390166163305411,3.6762063094959543,4.618363393150398
4,2025-01-05,0.37028623597318316,0.41439168292354656,0.06452768479689451,0.43055513140498075,0.4061681025147631,0.4952861713109688,0.4487130345618554,0.5941230211331255,2.869037400084356,2.606536595713416,5.039364104352543,,3.8809747782595494,4.127597475159126
5,2025-01-06,,0.3882675984472362,0.02156476294880036,0.4734716792217394,,0.3988285064229395,0.3475141511708693,0.48940031615515917,2.7738806869930954,2.4224567558964254,,4.430591021282044,3.757245198441042,
6,2025-01-07,,0.37631074324156477,0.0472640912052551,0.29471668663067785,0.3460888055133031,0.3550142952921771,0.10952891359339903,0.4896159994899193,3.003124298565479,3.3398518139436293,5.063102306800002,4.605017458349464,4.172402422972442,
7,2025-01-08,0.2522537278146041,0.38034049381640817,,,0.2666948969044343,0.21313129862562874,,0.4816781237576406,2.103518871867626,3.0728365015800856,4.62765508670527,4.274890039371053,4.4278176728541725,2.7908202312111268
8,2025-01-09,0.20468210159891725,0.3378847972337542,,0.20284695845490572,0.19066811177868898,0.2060277792106201,0.22778003106056316,0.14215875010833856,2.265346187416216,2.0027009970125835,,4.748489064739436,3.8628210776478533,2.1764521149867546
9,2025-01-10,0.22523696168177937,0.4242545788265403,0.0,,0.20970546500610793,,0.3320665889827882,0.20588713562317057,1.1856515756361206,2.450429776448237,3.8054401459240372,3.8136950330987065,3.6452665317975135,3.2725865540872396
10,2025-01-11,,0.33794106139638286,0.2594323266011572,0.22049230795156105,0.2747863098581671,0.4781610742944624,0.6319433208847897,0.002595335491289874,1.0047742429080249,2.50476920139737,4.941057376936778,4.3059381305438755,3.8174002213386933,2.1720312052215136
11,2025-01-12,0.26479398851820957,0.20764104971587338,0.33311763244741155,,,0.6283944860578118,0.5016073509753185,0.12865901099267738,,2.7510584963115483,2.2538108499677065,4.488164501070103,4.510760159041212,
12,2025-01-13,0.23875697435249926,0.0841100591464642,0.3922235590082374,0.05997391835283156,0.2545996276931836,0.610470212221782,0.5579212345231063,0.08039984376230906,0.7765062655560782,2.1515144556485426,4.735471127785309,2.8142954224326306,4.492905538257329,3.136938990175188
13,2025-01-14,,0.11003631191527295,0.3998573612929509,0.1436529532944763,0.2736551476063527,0.5058504256938267,0.24744571496208256,,1.914266846779654,2.7232774811843825,,2.833537310527875,4.95652038266969,3.2916846645513966
14,2025-01-15,0.10386673486660766,0.19864102350969554,0.1379215099257528,0.15683366296704415,0.22836243109397297,0.6214469371313964,0.21851681647321305,,1.7102133075486634,2.906664654869265,,3.510692137591767,4.728977662827385,
15,2025-01-16,0.1789892428546066,,0.23673405165603567,0.12758369088933438,0.30207057092144896,0.6395071023661706,0.21016560587715566,,2.433449807965973,2.485101016184774,4.302325803554885,,4.577646423099308,2.993759211879979
16,2025-01-17,0.21158684421532642,,0.0048712662727510014,0.2659215085988818,0.11163320858040532,0.7742982193266091,0.3467191310179893,,3.315111168724396,3.149469484346289,4.719945047405641,3.654428289065081,4.019597479480029,
17,2025-01-18,0.48400454123730047,0.2305370600111008,0.17839113199766493,,0.0,1.0,0.4049526126642263,,3.9095837976867944,2.52899338778258,,,,3.1970112707375016
18,2025-01-19,0.42777528200477083,0.22361685440783524,0.34394594427382175,0.18529362577652403,0.07530869649927702,1.0,0.38923307505604626,,3.6166856799014995,4.006349321540055,,,,4.203787194999165
19,2025-01-20,0.32789747839073285,0.336590285463928,0.3990780404543959,0.09361355588059957,,1.0,0.3329271566283574,,3.914489965206131,4.160583162850445,,4.332186620600412,5.233020416572364,4.4770623501901285
20,2025-01-21,0.3697891269856513,0.20742772245292945,0.3856469795124075,0.17732220919110264,0.02887860963614769,0.9615758746345467,0.2958962773225449,,3.109259073364358,4.414284209727276,,4.887455456129085,,
21,2025-01-22,0.3053045805693122,0.344178656530254,,,0.05982534302999233,0.952023252148536,0.2888245442330589,0.12118603933097283,,4.714717860338406,3.719800950040451,5.191181578814353,5.192441489176974,5.304505114640163
22,2025-01-23,0.3009038108155405,0.4139454535026266,0.41103264183946453,0.1103185802174989,,0.8905746102391023,0.20050634417293636,0.06278581037697833,3.3904266142621644,4.557603410236559,4.207630295697599,,5.082412818043732,3.5203922034454402
23,2025-01-24,,0.3536518182017349,,,0.3007105951620778,0.9547170723319908,0.37691472734719894,,4.471339487940535,,4.633917207602437,4.625988755148453,4.708680424405962,5.38681280562433
24,2025-01-25,0.2085401444143149,0.3984067160220657,0.22111925950978245,0.005136987126507814,0.301879151819888,0.9377092757484787,0.6542779247740811,0.25663249139899647,3.658168343852473,5.823528073088793,4.482868849119155,3.5787629592195804,4.664773141121164,
25,2025-01-26,0.0,0.46532180652901656,0.2018998668103995,0.08327911240751014,0.33622357807957004,0.8799430936550806,0.5196546213590492,0.0,3.2920056298441507,4.422732595438249,4.6898147518087026,3.410299760813577,9.93300362537024,
26,2025-01-27,0.07893596628006656,0.4224780693860305,0.11969940016605445,0.08052738436078115,0.20475051910503064,0.8079660081879821,0.5357531378482521,0.0,3.4957546592050477,4.585539403509491,4.629517126766335,3.48301620549949,5.43038504050563,
27,2025-01-28,0.12858101942422726,0.39316084120649053,0.16459201903181578,0.16000086500624838,0.031975077053378015,0.809082547759491,0.49703266739118673,0.01792227310179703,3.6116708396489217,3.873250059292631,4.578919318542877,4.213783461618253,5.323937911377687,4.3106450511553875
28,2025-01-29,0.15955893634064527,0.31300639662548485,0.12804942415168438,0.22736026862912512,0.0,,0.4907490475925036,,4.371337868911764,4.611562899453633,4.821537706214401,,6.026787455274929,3.037958806594455
29,2025-01-30,0.2833781900504718,0.2617867819968188,0.25250595839945283,0.26717189288038123,,,0.6258870702264945,0.18474863362147823,,3.828435283577887,,4.552684358023701,5.562799026315487,2.1944115067603813
30,2025-01-31,0.19430832546316662,0.3042330719815106,0.3015633359771608,0.33441280539564683,0.047329409980052695,1.0,0.5245839850501379,0.23564159634626286,,3.029936043557975,4.489479685728519,4.55569952346153,5.048919853393493,2.626975390111839
31,2025-02-01,0.2611718605826424,0.23113339839755165,0.22546541276898324,0.3611400381299478,0.10114538141559111,1.0,0.47369139520270753,0.09569734734970117,,2.4898236552727564,,4.987199994370411,4.761984556503727,2.041173439626101
32,2025-02-02,0.3468481494421931,0.036058450413790605,0.1957510511291025,,0.18627000865939455,1.0,0.4040940012536412,0.1280159790242489,,2.833155000000933,4.74425615851904,4.0503542406499315,3.9713636012703457,2.8394931140119195
33,2025-02-03,0.3133253442564258,0.0,0.16362445760486927,0.3755575346368685,0.2699513477357869,0.7806799340581292,0.33383171709920095,0.2782183424244741,,,,4.500997903759107,3.6014810314780106,2.835259382780428
34,2025-02-04,0.08924007660849426,0.14667072257065808,0.030292874660727803,0.16999649711069756,0.20495407661793813,0.8265301077791214,0.3384261139694473,0.11348661371189836,,,4.710179030079913,4.254244381941296,4.593473879434165,2.9002434949125564
35,2025-02-05,0.1867930867328653,0.1506801521532083,0.09119597784657807,0.2457870973951489,0.19301837461088783,0.9790504873674284,0.3524514564759121,0.2202177528863326,,2.9646172129074264,4.20917755853593,4.363017944162492,4.120802994744821,3.0635513284567217
36,2025-02-06,0.1381952514591404,0.23528009886754417,,0.22752306317564694,0.28026773930512194,0.9430970482712983,0.41042423268961664,0.15509450517474344,,3.915294775645134,,4.213007855139211,3.7398922315746743,3.0523945893249715
37,2025-02-07,0.06933768665201276,0.22575200989389704,0.37559823955345184,0.4289159621461869,0.3585210194110259,,0.38444747602437007,0.27311173151706974,0.795275665795406,3.729466671563368,3.7833540845279807,4.738848357184157,,2.842956321769634
38,2025-02-08,0.1260408092015583,0.09678515693229664,0.35717384567883,0.3575569757974389,0.35241240431171794,0.9382782444106545,0.4213776919996325,0.31172500252040425,,4.091784641235736,4.4885337774133305,,,3.1956244881158344
39,2025-02-09,0.15470965216246435,0.0,0.4390239667500274,0.10784958907575001,0.3514073682330658,0.8122443956984788,0.5381842545365721,0.3899837556029569,1.9302512771521012,,3.9455288330819758,4.561772863689653,4.817586489972861,3.5577567883816923
40,2025-02-10,0.16130849575961403,0.0,0.27512841873634686,0.1438733001588663,0.2601987845284937,0.6692764243256825,0.3520573699757517,0.3750275970323094,,3.746335770253698,4.124366174312887,4.689315001650138,4.578799103006698,4.497467985953414
41,2025-02-11,0.13347090009426146,0.0,0.19592132380860466,0.20309306100191787,0.22354647801279184,0.6241779997758524,0.34184042754219257,0.45366139111157,3.0941046354187334,3.7373934198617293,4.465075437191516,4.726243322475483,4.957955349697847,5.033457227274658
42,2025-02-12,0.13420415240934072,0.03155685049019755,0.28886331433259754,0.14082845890436135,0.19324999253167008,0.5388174810926998,0.2066782031950803,0.3706002845580768,2.344404107417522,4.12524968315879,3.9894139536232163,3.828669600304603,5.741309115283443,4.979438727190091
43,2025-02-13,0.13065790181475856,0.0,0.3878492913205952,0.07802393132393194,0.2556810783442289,,0.30334904126811596,0.46485800680925765,2.550521676077861,3.8709825554918735,3.9920926460365296,3.584267475682499,5.323189494658678,
44,2025-02-14,0.23051776843114002,0.01512669345060957,0.47528470969900777,0.21236865217805115,0.28069345217476893,,0.5094313152064742,0.5273292988626739,2.61238494105358,2.8519476030259865,3.5856271895002854,2.6641032200482546,6.095537025401795,3.9312712281425344
45,2025-02-15,0.3718391170905911,0.03778515153212153,0.4121782369467299,0.19347080411423537,0.2917187994230472,,0.6431974277565715,0.5573355202666854,2.1159464649297615,,,,,3.86817844376801
46,2025-02-16,0.3690055265296547,0.037232125754444206,0.3810389354555458,0.2018449976199468,0.2642301210163569,,0.5779082300173193,0.5569146585443538,2.6424872750479027,,,2.7886236035123364,6.232622673696335,3.559236162769418
47,2025-02-17,0.40819109823660693,0.020230143890750875,,0.15234239618018752,0.21624375692664324,,0.4627292870726457,0.6536744412402749,2.7045133676101423,,,3.5553539921466775,6.211960546109537,
48,2025-02-18,0.5267943154664406,,0.5092912273144103,0.18875555450323506,0.28091034946589777,0.8400109908884724,0.42153852680979864,0.6279421899455789,2.8422471740813404,,,3.147318562124349,,3.577412892501215
49,2025-02-19,0.358028532275278,0.15675018384234296,0.4543797465565964,0.2893588291554033,0.21903530865316143,0.7873958160690832,0.31247399515112595,0.7221492113268185,2.164159767217877,,,2.814041807200923,5.713648739651963,
50,2025-02-20,,0.2868341721980115,0.5506651028536543,0.2824913143406616,0.4189867142355392,0.8376533231009585,0.397103021655276,0.7402724132261455,2.563864126658028,,,,4.493135469309483,2.4672662719616074
51,2025-02-21,0.556642414537502,0.36433237824406406,,0.23740117247745682,0.34150270107412267,0.8715988819926067,0.40267052573179785,0.8269761829892984,2.988790432178321,,,,3.4955555397085627,3.291918189385946
