mapping_predictor_path,mapping_predictor_path_canonical,n_matched_hyde_leaves,matched_hyde_leaves_joined
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities','[BIO] / Movement_and_Bodywork / Aerobic_Movement_Modalities',0,
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities','[BIO] / Movement_and_Bodywork / Balance_and_Coordination_Modalities',0,
'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies','[BIO] / Movement_and_Bodywork / Bodywork_and_Physical_Therapies',0,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities','[BIO] / Movement_and_Bodywork / Strength_and_Resistance_Modalities',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Biofeedback_and_Neurofeedback','[BIO] / Neuromodulation_and_Neurostimulation / Biofeedback_and_Neurofeedback',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation','[BIO] / Neuromodulation_and_Neurostimulation / Digital_and_Immersive_Neuromodulation',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Implantable_Central_Neuromodulation','[BIO] / Neuromodulation_and_Neurostimulation / Implantable_Central_Neuromodulation',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Electrical_Stimulation_Family',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Family',0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets','[BIO] / Neuromodulation_and_Neurostimulation / Transcranial_Magnetic_Stimulation_Targets',0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / AntiInflammatory_and_Immunomodulatory_Pharmacotherapy_Classes',0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Psychiatric_Pharmacotherapy_Classes',0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Sleep_Related_Pharmacotherapy_Classes',0,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes','[BIO] / Pharmacology_and_Biomedical_Treatments / Substance_Use_Treatment_Pharmacotherapy_Classes',0,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment','[BIO] / Sleep_and_Circadian / Circadian_Entrainment',0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices','[BIO] / Sleep_and_Circadian / Sleep_Routines_and_Practices',0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks','[PSYCHO] / Cognitive_Behavioral_Therapies / Transdiagnostic_CBT_Frameworks',0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions','[PSYCHO] / Third_Wave_and_Contextual_Therapies / Mindfulness_Based_Interventions',0,
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access','[SOCIAL] / Care_Navigation_Access_and_Coordination / Care_Navigation_and_Access',0,
'[SOCIAL] > Community_Participation_and_Social_Prescribing > Community_Participation_Library','[SOCIAL] / Community_Participation_and_Social_Prescribing / Community_Participation_Library',0,
'[SOCIAL] > Community_Participation_and_Social_Prescribing > Social_Prescribing_and_Community_Linkage','[SOCIAL] / Community_Participation_and_Social_Prescribing / Social_Prescribing_and_Community_Linkage',0,
'[SOCIAL] > Social_Support_and_Belonging > Network_Building_And_Maintenance','[SOCIAL] / Social_Support_and_Belonging / Network_Building_And_Maintenance',0,
