feature_path_full,domain,n_present_runs,presence_frequency,mean_rank_present,std_rank_present,mean_score_present,std_score_present
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rehabilitation_and_functional_restoration / somatic_symptom_and_stress_physiology_interfaces / return_to_activity_clearance_and_coordination_pathway,BIO,4,0.8,55.0,46.054317,0.2223824,0.009448101
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rehabilitation_and_functional_restoration / somatic_symptom_and_stress_physiology_interfaces / post_illness_functional_restoration_pathway,BIO,3,0.6,20.666666,11.469768,0.2240599,0.013488971
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rehabilitation_and_functional_restoration / somatic_symptom_and_stress_physiology_interfaces / breathing_pattern_disorder_evaluation_referral_pathway,BIO,3,0.6,63.0,28.08321,0.21148689,0.012239456
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rehabilitation_and_functional_restoration / somatic_symptom_and_stress_physiology_interfaces / autonomic_function_assessment_referral_pathway,BIO,3,0.6,75.333336,29.555971,0.20874022,0.010944375
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rehabilitation_and_functional_restoration / somatic_symptom_and_stress_physiology_interfaces / exercise_intolerance_evaluation_referral_pathway,BIO,3,0.6,81.666664,46.14711,0.2094084,0.011140495
BIO / personalization_monitoring_and_data_feedback / self_assessment_and_logs / somatic_and_interoceptive_selfreports / gi_symptom_log,BIO,2,0.4,110.5,77.5,0.20481582,0.00275141
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / pain_medicine_and_somatic_distress / referral_and_evaluation / central_sensitization_evaluation_pathway,BIO,2,0.4,165.0,30.0,0.20943964,0.0220818
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rapidacting_interventional_psychopharmacology / clinical_operations_and_care_integration / medical_comorbidity_coordination_for_interventional_therapy,BIO,1,0.2,108.0,0.0,0.19452499,0.0
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / sleep_medicine_and_circadian_care / referral_and_diagnostics / medication_and_substance_sleep_impact_review,BIO,1,0.2,139.0,0.0,0.20498702,0.0
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / safety_monitoring_and_escalation / care_transition_planning_after_interventional_therapy,BIO,1,0.2,144.0,0.0,0.1909831,0.0
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / rapidacting_interventional_psychopharmacology / clinical_operations_and_care_integration / substance_risk_screening_for_interventional_therapy,BIO,1,0.2,171.0,0.0,0.18880631,0.0
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / safety_monitoring_and_escalation / informed_consent_and_expectation_setting_session,BIO,1,0.2,173.0,0.0,0.18861796,0.0
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / safety_monitoring_and_escalation / adverse_event_triage_pathway_for_somatic_interventions,BIO,1,0.2,188.0,0.0,0.18769105,0.0
