predictor_path,SOCIAL / social skills / communication skills / clarity of expression / *unambiguous expression,anxiety disorders / social anxiety disorder / generalized / fear of negative evaluation / *anticipatory_anxiety_in_social_evaluative_contexts,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / reassurance-seeking or checking dominant without full ocd / *functional_impairment_from_reassurance_or_checking,obsessive-compulsive and related disorders / other specified obsessive-compulsive and related disorder / reassurance-seeking or checking dominant without full ocd / *repeated_verification_of_basic_tasks_before_use
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,,,930.0
'[PSYCHO] > Skills_Libraries > Interpersonal_and_Communication_Skills',900.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,900.0,820.0,950.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Bias_and_Attention_Modification',,,,880.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',,,,880.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,850.0,,900.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,,800.0,920.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,,,860.0
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,840.0,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > DBT_Skills_Based_Therapy',,800.0,,860.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,860.0,700.0,880.0
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > ACT_Contextual_Behavioral_Therapy',,820.0,680.0,860.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Transdiagnostic_CBT_Frameworks',,,750.0,
'[BIO] > Movement_and_Bodywork > Digital_and_Remote_Therapy_Formats',,700.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',,650.0,,
'[PSYCHO] > Foundations_and_Common_Factors > Therapeutic_Relationship_and_Context',650.0,,,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Digital_Tools_and_Supports',,670.0,540.0,
'[PSYCHO] > Digital_and_Tech_Enabled_Solutions > Care_Delivery_Formats',,680.0,520.0,
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Access_Barrier_Reduction_Solutions',,,560.0,
'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',550.0,,,
'[SOCIAL] > Care_Navigation_Access_and_Coordination > Care_Navigation_and_Access',,,540.0,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Therapy_and_Support_Formats',,,510.0,
'[PSYCHO] > Foundations_and_Common_Factors > Case_Formulation_and_Treatment_Planning',420.0,,,
