survey_name,hcp_code,case_code,profile,import_file,case_network_image,shared_example_image,inline_images_embedded,post_import_note
PHOENIX_PRE_HCP-PRE-01_C01,HCP-PRE-01,C01,28-jarige softwareontwikkelaar,HCP-PRE-01_C01.txt,c01_part3_network.png,shared_part3_example_network.png,yes,Stel in Qualtrics nog exact-6 validatie in voor Deel 4 en controleer de toestemmingsvraag.
PHOENIX_PRE_HCP-PRE-02_C02,HCP-PRE-02,C02,34-jarige administratief medewerker in de zorg,HCP-PRE-02_C02.txt,c02_part3_network.png,shared_part3_example_network.png,yes,Stel in Qualtrics nog exact-6 validatie in voor Deel 4 en controleer de toestemmingsvraag.
PHOENIX_PRE_HCP-PRE-03_C03,HCP-PRE-03,C03,41-jarige leraar secundair onderwijs,HCP-PRE-03_C03.txt,c03_part3_network.png,shared_part3_example_network.png,yes,Stel in Qualtrics nog exact-6 validatie in voor Deel 4 en controleer de toestemmingsvraag.
PHOENIX_PRE_HCP-PRE-04_C04,HCP-PRE-04,C04,63-jarige gepensioneerde professional,HCP-PRE-04_C04.txt,c04_part3_network.png,shared_part3_example_network.png,yes,Stel in Qualtrics nog exact-6 validatie in voor Deel 4 en controleer de toestemmingsvraag.
PHOENIX_PRE_HCP-PRE-05_C05,HCP-PRE-05,C05,25-jarige postgraduaatsstudent,HCP-PRE-05_C05.txt,c05_part3_network.png,shared_part3_example_network.png,yes,Stel in Qualtrics nog exact-6 validatie in voor Deel 4 en controleer de toestemmingsvraag.
PHOENIX_PRE_HCP-PRE-06_C06,HCP-PRE-06,C06,32-jarige marketingprofessional,HCP-PRE-06_C06.txt,c06_part3_network.png,shared_part3_example_network.png,yes,Stel in Qualtrics nog exact-6 validatie in voor Deel 4 en controleer de toestemmingsvraag.
PHOENIX_PRE_HCP-PRE-07_C07,HCP-PRE-07,C07,46-jarige accountmanager,HCP-PRE-07_C07.txt,c07_part3_network.png,shared_part3_example_network.png,yes,Stel in Qualtrics nog exact-6 validatie in voor Deel 4 en controleer de toestemmingsvraag.
PHOENIX_PRE_HCP-PRE-08_C08,HCP-PRE-08,C08,38-jarige projectmanager,HCP-PRE-08_C08.txt,c08_part3_network.png,shared_part3_example_network.png,yes,Stel in Qualtrics nog exact-6 validatie in voor Deel 4 en controleer de toestemmingsvraag.
PHOENIX_PRE_HCP-PRE-09_C09,HCP-PRE-09,C09,27-jarige salesvertegenwoordiger,HCP-PRE-09_C09.txt,c09_part3_network.png,shared_part3_example_network.png,yes,Stel in Qualtrics nog exact-6 validatie in voor Deel 4 en controleer de toestemmingsvraag.
PHOENIX_PRE_HCP-PRE-10_C10,HCP-PRE-10,C10,52-jarige operationeel directeur,HCP-PRE-10_C10.txt,c10_part3_network.png,shared_part3_example_network.png,yes,Stel in Qualtrics nog exact-6 validatie in voor Deel 4 en controleer de toestemmingsvraag.
