predictor_path,depressive disorders / melancholic depression / *diurnal_mood_variation,depressive disorders / melancholic depression / *mood_nonreactive,psychological / autonomy / boundary setting / protecting personal time / *avoiding overcommitment,substance-related and addictive disorders / non-substance-related (behavioral) addictive disorders / digital media use disorders / smartphone addiction / *mood_regulation_via_phone_use
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavior_Change_and_Activation',,,,900.0
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,880.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',,,,880.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',850.0,880.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,860.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',860.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > CBT_Skills_Training_Libraries',,,,860.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,850.0,,
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',900.0,800.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Bias_and_Attention_Modification',,,,850.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',780.0,900.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,830.0,,
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',,,830.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Digital_and_Immersive_Neuromodulation',,820.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',820.0,,,
'[PSYCHO] > Brief_and_Motivational_Approaches > Coaching_and_Behavior_Change_Support',,,820.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',,,,820.0
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',,,880.0,740.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',740.0,860.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',800.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Exposure_and_Inhibitory_Learning',,,,800.0
'[BIO] > Neuromodulation_and_Neurostimulation > Ultrasound_and_Mechanical_Neuromodulation',,790.0,,
'[PSYCHO] > Skills_Libraries > Interpersonal_and_Communication_Skills',,,790.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Perseverative_Cognition_Interventions',,,,780.0
'[PSYCHO] > Cognitive_Behavioral_Therapies > Problem_Solving_Training',,,,760.0
'[PSYCHO] > Foundations_and_Common_Factors > Psychoeducation_Modules',,,760.0,
'[PSYCHO] > Foundations_and_Common_Factors > Therapeutic_Relationship_and_Context',,,760.0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',750.0,,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Schema_Focused_CBT_Derivatives',,,,750.0
'[SOCIAL] > Romantic_Intimacy_and_Relationships > Relational_Therapeutic_Services',,,720.0,
'[PSYCHO] > Brief_and_Motivational_Approaches > Solution_Focused_Brief_Therapy',,,710.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',700.0,,,
'[BIO] > Pharmacology_and_Biomedical_Treatments > Endocrine_and_Metabolic_Pharmacotherapy_Classes',700.0,,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',,,700.0,
'[SOCIAL] > Interpersonal_Therapeutic_Solutions > Skill_Building_and_Psychoeducation',,,700.0,
