predictor_path,emotional / negative emotions / *embarrassment,infancy / social_development / communication / gestures / shrugging / *spontaneous_shrugging
'[PSYCHO] > Skills_Libraries > Emotion_Regulation_and_Affect_Skills',940.0,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',920.0,
'[BIO] > Movement_and_Bodywork > Aerobic_Movement_Modalities',,900.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Family',,900.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',,900.0
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',,900.0
'[BIO] > Movement_and_Bodywork > Balance_and_Coordination_Modalities',,880.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',,880.0
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',880.0,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Behavioral_Experiments_and_Learning',880.0,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',860.0,
'[PSYCHO] > Humanistic_and_Experiential_Therapies > Emotion_Focused_Therapy',860.0,
'[BIO] > Movement_and_Bodywork > Bodywork_and_Physical_Therapies',,850.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',,850.0
'[PSYCHO] > Skills_Libraries > Stress_Management_and_Relaxation',850.0,
'[BIO] > Movement_and_Bodywork > Mobility_MindBody_and_Somatic_Modalities',,840.0
'[BIO] > Sleep_and_Circadian > Sleep_Environment',840.0,
'[PSYCHO] > Brief_and_Motivational_Approaches > Solution_Focused_Brief_Therapy',820.0,
'[BIO] > Movement_and_Bodywork > Strength_and_Resistance_Modalities',,800.0
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',800.0,
