feature_path_full,domain,n_present_runs,presence_frequency,mean_rank_present,std_rank_present,mean_score_present,std_score_present
BIO / sleep_circadian_and_restoration / circadian_entrainment / context_shift_plans / weekend_social_shift_mitigation,BIO,5,1.0,18.2,10.047886,0.22098446,0.027731117
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / presleep_downshift / low_stimulation_evening_activities,BIO,5,1.0,18.2,19.291449,0.223978,0.034412086
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / night_awakenings_support / nonengagement_with_clock_checking,BIO,5,1.0,20.8,8.084553,0.2204738,0.03481413
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / morning_stabilization / gentle_mobility_on_waking,BIO,5,1.0,22.2,29.633764,0.22969504,0.045839876
BIO / sleep_circadian_and_restoration / circadian_entrainment / light_cues / daylight_exposure_planning,BIO,5,1.0,24.4,18.736061,0.23191431,0.06423136
BIO / cognitive_capacity_and_brain_health / sleep_circadian_and_glymphatic_support / circadian_photo_biology_tools / bright_light_therapy_box,BIO,5,1.0,30.2,7.730459,0.21440034,0.032460127
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / morning_stabilization / morning_daylight_exposure,BIO,5,1.0,34.0,32.37283,0.22968812,0.064359196
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / presleep_downshift / stimulating_content_avoidance,BIO,5,1.0,35.0,22.556595,0.21275148,0.022543881
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / sleep_medicine_and_circadian_care / therapy_and_device_pathways / sleep_wake_stabilization_care_plan_coordination,BIO,5,1.0,38.8,25.529593,0.21324818,0.032814916
BIO / sleep_circadian_and_restoration / circadian_entrainment / light_cues / consistent_morning_anchor_routine,BIO,5,1.0,47.2,34.19006,0.22586234,0.06714696
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / night_awakenings_support / return_to_bed_settling_routine,BIO,5,1.0,59.6,59.798332,0.21097441,0.0328715
BIO / sleep_circadian_and_restoration / circadian_entrainment / activity_and_meal_cues / social_rhythm_stabilization,BIO,5,1.0,60.8,41.082355,0.20752156,0.03170035
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / inbed_settling / paradoxical_intention_sleep_rationale,BIO,5,1.0,65.2,42.15875,0.20567933,0.029082457
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / night_awakenings_support / brief_breath_reset,BIO,5,1.0,77.0,62.73117,0.20278206,0.020491472
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / presleep_downshift / cognitive_unloading_journaling,BIO,5,1.0,82.0,40.452442,0.19956532,0.020541823
BIO / sleep_circadian_and_restoration / circadian_entrainment / context_shift_plans / seasonal_light_adjustment,BIO,5,1.0,84.6,63.88928,0.21131277,0.05094123
BIO / environmental_exposures_and_built_environment_optimization / sensory_environment_design / light_and_circadian_environment / blue_light_reduction_evening,BIO,5,1.0,102.2,55.650337,0.20038767,0.03223054
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / morning_stabilization / hydration_on_waking,BIO,4,0.8,14.0,9.027735,0.2315674,0.04786665
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / inbed_settling / attention_on_neutral_sensations,BIO,4,0.8,50.25,10.084022,0.20523565,0.024886072
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / morning_stabilization / morning_breathing_reset,BIO,4,0.8,60.25,32.575874,0.20971996,0.042492315
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / presleep_downshift / bedroom_declutter,BIO,4,0.8,63.5,22.643984,0.20369479,0.026816182
BIO / sleep_circadian_and_restoration / circadian_entrainment / context_shift_plans / shift_work_adaptation_plan,BIO,4,0.8,64.75,42.55805,0.20764522,0.039096974
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / morning_stabilization / morning_outdoor_step,BIO,4,0.8,65.5,37.74586,0.2144286,0.052924927
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / sleep_medicine_and_circadian_care / referral_and_diagnostics / medication_and_substance_sleep_impact_review,BIO,4,0.8,69.75,25.616158,0.1988922,0.018533725
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / inbed_settling / acceptance_of_wakefulness_practice,BIO,4,0.8,74.0,30.870699,0.20334812,0.033090502
BIO / somatic_and_interventional_care_pathways / somatic_and_interventional_therapies / sleep_medicine_and_circadian_care / therapy_and_device_pathways / sleep_device_therapy_evaluation_pathway,BIO,4,0.8,76.0,21.621748,0.20015934,0.024151757
BIO / sleep_circadian_and_restoration / circadian_entrainment / light_cues / morning_bright_light_exposure,BIO,4,0.8,80.75,60.088997,0.22981192,0.08359685
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / presleep_downshift / bedroom_device_free_policy,BIO,4,0.8,82.25,50.603237,0.20402846,0.034585755
BIO / sleep_circadian_and_restoration / circadian_entrainment / activity_and_meal_cues / caffeine_timing_adjustment,BIO,4,0.8,87.0,42.567593,0.20378222,0.040021878
BIO / sleep_circadian_and_restoration / sleep_routines_and_practices / night_awakenings_support / low_light_bathroom_path,BIO,4,0.8,88.5,48.314075,0.20743704,0.047369495
