predictor_path,anxiety disorders / generalized anxiety disorder / with cognitive rumination / *self_referential_ruminative_content,sleep-wake disorders / circadian rhythm sleep–wake disorders / delayed sleep–wake phase disorder / *subjective_nonrestorative_sleep,sleep-wake disorders / insomnia disorders / short-term (acute) insomnia disorder / *daytime_fatigue
'[BIO] > Sleep_and_Circadian > Circadian_Entrainment',950.0,900.0,900.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Psychiatric_Pharmacotherapy_Classes',,,900.0
'[BIO] > Somatic_and_Interventional > Brain_Stimulation_Therapies',900.0,,
'[PSYCHO] > Third_Wave_and_Contextual_Therapies > Mindfulness_Based_Interventions',860.0,,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Family',850.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Devices_and_Technologies',820.0,880.0,
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Electrical_Stimulation_Montages',830.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Environment',800.0,860.0,800.0
'[BIO] > Neuromodulation_and_Neurostimulation > Transcranial_Magnetic_Stimulation_Targets',800.0,,
'[PSYCHO] > Cognitive_Behavioral_Therapies > Cognitive_Restructuring',780.0,,
'[BIO] > Sleep_and_Circadian > Sleep_Routines_and_Practices',780.0,760.0,750.0
'[BIO] > Sleep_and_Circadian > Sleep_Pharmacotherapy_Classes',,780.0,700.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Sleep_Related_Pharmacotherapy_Classes',,750.0,720.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Substance_Use_Treatment_Pharmacotherapy_Classes',,,700.0
'[BIO] > Sleep_and_Circadian > Sleep_Supplements',,740.0,600.0
'[BIO] > Personalization_and_Monitoring > Wearables_and_Home_Monitoring',,,650.0
'[BIO] > Pharmacology_and_Biomedical_Treatments > Medication_Safety_and_Personalization_Tools',,,650.0
